	Feature	Coefficient
779	msp_0864	0.007200331135524967
1855	msp_2603	0.006560584107132084
1625	msp_2238	0.005994458444325677
1940	msp_2859	0.0057390774356740025
1623	msp_2236	0.005593417356129265
1608	msp_2219	0.005365662815238641
1689	msp_2324	0.005190694044346938
1697	msp_2339	0.004851457141811574
1009	msp_1144c	0.004818090189915056
1737	msp_2392	0.004816661560454685
1765	msp_2433	0.004816516605801214
1155	msp_1341	0.004769825333365491
1875	msp_2646	0.0040857481092092425
24	msp_0025	0.003950122240917279
244	msp_0261	0.003929951591879522
1582	msp_1456c	0.0038959952862400397
1624	msp_2237	0.003819546025602378
1823	msp_2545	0.0037311226753966994
1742	msp_2397	0.0037239889908739997
1915	msp_2802	0.0037035548894332683
1695	msp_2335	0.003687156974622067
1607	msp_2218	0.0036292185081462348
471	msp_0511	0.0034670593292636465
373	msp_0403	0.003409720823413653
1963	msp_2911	0.003306710722512993
1714	msp_2362	0.003211270447067342
1722	msp_2372	0.003184277713091402
1515	msp_1941	0.0031663435823611166
1629	msp_2244	0.0031527260814802325
874	msp_0980	0.0031036608099691216
1885	msp_2675	0.0031036608099691216
1924	msp_2830	0.0031036608099691216
1236	msp_1454	0.0031036608099691216
1946	msp_2872	0.0031036608099691216
303	msp_0328	0.0030652044244250443
1845	msp_2587	0.003034377993973522
1859	msp_2617	0.0030177327295225057
588	msp_0643	0.002979618726996837
1589	msp_1785	0.0029733890110308107
1639	msp_2256	0.002967509373336641
1934	msp_2847	0.0028034986228036877
161	msp_0174	0.002785087024441276
1789	msp_2482	0.002727609634756553
1604	msp_2215	0.002716358160539604
1748	msp_2406	0.0026370596057217334
1849	msp_2593	0.002619287536632269
1693	msp_2333	0.0026020877049710463
1830	msp_2558	0.002543744685184389
1609	msp_2220	0.0024927065422885994
1802	msp_2505	0.0024764811944643383
1899	msp_2716	0.002452441588521976
1706	msp_2349	0.00243810163721793
1664	msp_2286	0.002433516631807439
1439	msp_1782	0.00243223905616691
1666	msp_2289	0.0024029573050246933
377	msp_0408	0.0023826836160480897
1614	msp_2226	0.0023726307806759264
36	msp_0039	0.002364235132497435
1896	msp_2699	0.0022964148801745505
1929	msp_2839	0.002277486263290144
1980	msp_2936	0.002274765571133831
240	msp_0257	0.002249215553387012
1882	msp_2666	0.002237829994879911
1635	msp_2252	0.002235262163595252
1862	msp_2622	0.002231418795844339
1103	msp_1268	0.002218329064968373
1253	msp_1474	0.002209137045491719
1668	msp_2292	0.0021627876600232975
1992	msp_2958	0.002148091090378121
1987	msp_2945	0.0021370340848140177
1751	msp_2409	0.0021344876661433315
828	msp_0925	0.002124633973497201
